id,observed_on_string,observed_on,quality_grade,license,latitude,longitude,positional_accuracy,scientific_name,common_name
7938958,2017/09/13 6:16 PM CDT,9/13/2017,research,CC-BY-NC,35.51389994,-93.32610682,2,Danaus plexippus,Monarch
7938959,2017/09/13 6:14 PM CDT,9/13/2017,research,CC-BY-NC,35.51390539,-93.3261095,2,Danaus plexippus,Monarch
7938960,2017/09/13 6:15 PM CDT,9/13/2017,research,CC-BY-NC,35.51389448,-93.32611084,2,Danaus plexippus,Monarch
7943090,2017/09/15 09:00-10:30,9/15/2017,casual,CC-BY-NC,36.3495592,-92.63019562,244,Danaus plexippus,Monarch
7945498,Sat Sep 16 2017 09:54:29 GMT-0500 (CDT),9/16/2017,research,CC-BY-NC,36.20704167,-93.12122217,,Danaus plexippus,Monarch
7955166,Sat Sep 16 2017 18:52:28 GMT-0500 (CDT),9/16/2017,research,CC-BY-NC,35.81956333,-93.94687833,500,Danaus plexippus,Monarch
7969607,2017/09/16 6:17 PM CDT,9/16/2017,research,CC-BY-NC,35.51376676,-93.3261323,31,Danaus plexippus,Monarch
7978265,9/16/2017,9/16/2017,research,CC-BY-NC,34.702491,-92.511816,1914,Danaus plexippus,Monarch
7978279,9/17/2017,9/17/2017,casual,CC-BY-NC,34.702491,-92.511816,1914,Danaus plexippus,Monarch
7997346,9/19/2017,9/19/2017,research,CC-BY-NC,36.435631,-93.967437,16414,Danaus plexippus,Monarch
8000224,Tue Sep 19 2017 15:45:05 GMT-0500 (CDT),9/19/2017,research,CC-BY-NC-SA,36.06163991,-94.16936156,22,Danaus plexippus,Monarch
8023505,9/14/2017,9/14/2017,casual,CC-BY-NC,36.48574,-93.754404,,Danaus plexippus,Monarch
