"geom","oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","csquare","geom_wkt"
0103000020E61000000100000005000000000000000000244000000000000049C0000000000000264000000000000049C0000000000000264000000000008049C0000000000000244000000000008049C0000000000000244000000000000049C0,82208,11,-51,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-27","2007-11-27",1,1,1,"3501:100","POLYGON((10 -50,11 -50,11 -51,10 -51,10 -50))"
0103000020E61000000100000005000000000000000000244000000000000046C0000000000000264000000000000046C0000000000000264000000000008046C0000000000000244000000000008046C0000000000000244000000000000046C0,77592,10,-44,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2008-04-24","2008-04-24",1,1,1,"3401:140","POLYGON((10 -44,11 -44,11 -45,10 -45,10 -44))"
0103000020E61000000100000005000000000000000000244000000000000045C0000000000000264000000000000045C0000000000000264000000000008045C0000000000000244000000000008045C0000000000000244000000000000045C0,77582,10,-42,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2008-04-23","2008-04-23",1,1,1,"3401:120","POLYGON((10 -42,11 -42,11 -43,10 -43,10 -42))"
0103000020E61000000100000005000000000000000000244000000000000044C0000000000000264000000000000044C0000000000000264000000000008044C0000000000000244000000000008044C0000000000000244000000000000044C0,77574,11,-40,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-23","2007-11-23",1,1,1,"3401:100","POLYGON((10 -40,11 -40,11 -41,10 -41,10 -40))"
0103000020E61000000100000005000000000000000000244000000000008043C0000000000000264000000000008043C0000000000000264000000000000044C0000000000000244000000000000044C0000000000000244000000000008043C0,69957,11,-39,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-03","2008-04-23",5,5,1,"3301:390","POLYGON((10 -39,11 -39,11 -40,10 -40,10 -39))"
0103000020E61000000100000005000000000000000000244000000000000043C0000000000000264000000000000043C0000000000000264000000000008043C0000000000000244000000000008043C0000000000000244000000000000043C0,69926,10,-38,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-10","2008-04-24",3,2,1,"3301:380","POLYGON((10 -38,11 -38,11 -39,10 -39,10 -38))"
0103000020E61000000100000005000000000000000000244000000000008042C0000000000000264000000000008042C0000000000000264000000000000043C0000000000000244000000000000043C0000000000000244000000000008042C0,69900,11,-37,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-09","2007-11-15",3,1,1,"3301:370","POLYGON((10 -37,11 -37,11 -38,10 -38,10 -37))"
0103000020E61000000100000005000000000000000000244000000000000042C0000000000000264000000000000042C0000000000000264000000000008042C0000000000000244000000000008042C0000000000000244000000000000042C0,69877,10,-37,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2008-04-21","2008-04-21",1,1,1,"3301:360","POLYGON((10 -36,11 -36,11 -37,10 -37,10 -36))"
0103000020E61000000100000005000000000000000000244000000000000041C0000000000000264000000000000041C0000000000000264000000000008041C0000000000000244000000000008041C0000000000000244000000000000041C0,61554,10,-35,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-08","2007-11-11",2,1,1,"3301:140","POLYGON((10 -34,11 -34,11 -35,10 -35,10 -34))"
0103000020E61000000100000005000000000000000000244000000000008040C0000000000000264000000000008040C0000000000000264000000000000041C0000000000000244000000000000041C0000000000000244000000000008040C0,61541,11,-33,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-05","2008-04-25",2,2,1,"3301:130","POLYGON((10 -33,11 -33,11 -34,10 -34,10 -33))"
0103000020E6100000010000000500000000000000000024400000000000003FC000000000000026400000000000003FC0000000000000264000000000000040C0000000000000244000000000000040C000000000000024400000000000003FC0,61490,10,-32,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-27","2007-10-27",1,1,1,"3301:110","POLYGON((10 -31,11 -31,11 -32,10 -32,10 -31))"
0103000020E6100000010000000500000000000000000024400000000000003EC000000000000026400000000000003EC000000000000026400000000000003FC000000000000024400000000000003FC000000000000024400000000000003EC0,61458,11,-31,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-25","2007-10-26",2,2,1,"3301:100","POLYGON((10 -30,11 -30,11 -31,10 -31,10 -30))"
0103000020E6100000010000000500000000000000000024400000000000003DC000000000000026400000000000003DC000000000000026400000000000003EC000000000000024400000000000003EC000000000000024400000000000003DC0,54906,10,-30,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-27","2007-10-28",2,1,1,"3201:390","POLYGON((10 -29,11 -29,11 -30,10 -30,10 -29))"
0103000020E6100000010000000500000000000000000024400000000000003BC000000000000026400000000000003BC000000000000026400000000000003CC000000000000024400000000000003CC000000000000024400000000000003BC0,54883,10,-27,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-30","2007-10-30",1,1,1,"3201:370","POLYGON((10 -27,11 -27,11 -28,10 -28,10 -27))"
0103000020E61000000100000005000000000000000000244000000000000039C0000000000000264000000000000039C000000000000026400000000000003AC000000000000024400000000000003AC0000000000000244000000000000039C0,54706,10,-25,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-25","2008-04-26",3,3,1,"3201:350","POLYGON((10 -25,11 -25,11 -26,10 -26,10 -25))"
